,user_id,isbn,rating
966,234828,0345402871,8.0
972,252695,0345402871,7.0
987,11676,0345417623,10.0
992,16795,0345417623,5.0
996,19085,0345417623,8.0
1019,40889,0345417623,4.0
1027,48494,0345417623,10.0
1039,59172,0345417623,10.0
1054,81492,0345417623,10.0
1059,92810,0345417623,5.0
1067,106007,0345417623,9.0
1090,135149,0345417623,8.0
1103,177432,0345417623,8.0
1119,201290,0345417623,10.0
1127,214786,0345417623,10.0
1134,224349,0345417623,9.0
1137,225595,0345417623,7.0
1176,8245,0312978383,8.0
1177,11676,0312978383,5.0
1178,16795,0312978383,6.0
1179,21014,0312978383,7.0
1190,115003,0312978383,7.0
1195,162639,0312978383,10.0
1196,163973,0312978383,9.0
1199,212965,0312978383,5.0
1201,225087,0312978383,10.0
1208,11676,0425099148,8.0
1209,43246,0425099148,10.0
1211,125774,0425099148,9.0
1216,70415,0553264990,10.0
1220,11676,0553278398,9.0
1222,25981,0553278398,5.0
1230,197659,0553278398,10.0
1233,254206,0553278398,8.0
1241,38273,0891075275,5.0
1243,81492,0891075275,9.0
1251,162639,0891075275,10.0
1254,208671,0891075275,9.0
1259,38273,0891076182,5.0
1274,11676,0375759778,8.0
1286,101606,0425163091,6.0
1290,16795,0375406328,8.0
1293,122429,0375406328,7.0
1302,4017,0446310786,10.0
1311,13850,0446310786,9.0
1314,17950,0446310786,8.0
1319,23902,0446310786,7.0
1326,31556,0446310786,10.0
1333,37712,0446310786,10.0
1334,37950,0446310786,9.0
1351,55187,0446310786,10.0
1356,59172,0446310786,10.0
1360,66942,0446310786,10.0
1366,76626,0446310786,10.0
1372,89602,0446310786,9.0
1376,95359,0446310786,10.0
1381,100459,0446310786,9.0
1383,102647,0446310786,4.0
1387,105979,0446310786,10.0
1389,110934,0446310786,10.0
1391,113519,0446310786,10.0
1394,115003,0446310786,10.0
1401,123883,0446310786,5.0
1406,129074,0446310786,10.0
1423,145449,0446310786,10.0
1427,147847,0446310786,5.0
1434,168047,0446310786,10.0
1435,171118,0446310786,8.0
1437,174304,0446310786,8.0
1439,177432,0446310786,10.0
1442,181176,0446310786,8.0
1443,184299,0446310786,9.0
1444,187145,0446310786,9.0
1451,200226,0446310786,10.0
1460,209516,0446310786,10.0
1476,229741,0446310786,9.0
1477,231210,0446310786,10.0
1480,236058,0446310786,9.0
1481,236340,0446310786,9.0
1483,239594,0446310786,8.0
1484,240567,0446310786,8.0
1489,247447,0446310786,8.0
1492,251844,0446310786,10.0
1517,11676,0449005615,10.0
1519,25981,0449005615,5.0
1527,60244,0449005615,9.0
1531,67840,0449005615,10.0
1533,69078,0449005615,8.0
1549,95932,0449005615,10.0
1554,114988,0449005615,10.0
1565,127359,0449005615,9.0
1570,135149,0449005615,9.0
1595,204864,0449005615,9.0
1610,232131,0449005615,8.0
1613,236757,0449005615,9.0
1615,239584,0449005615,10.0
1636,36554,0060168013,10.0
1638,113270,0060168013,8.0
1650,218608,0060168013,6.0
1656,30735,038078243X,8.0
1660,11676,0061099686,9.0
1665,223087,0061099686,8.0
1670,47316,0553582909,9.0
1671,78973,0553582909,6.0
1679,241980,0553582909,9.0
1683,11676,0671888587,8.0
1684,12982,0671888587,8.0
1688,25981,0671888587,5.0
1689,29259,0671888587,9.0
1690,31826,0671888587,10.0
1696,78973,0671888587,8.0
1699,104636,0671888587,9.0
1707,229011,0671888587,8.0
1709,235282,0671888587,7.0
1711,241666,0671888587,5.0
1713,264031,0671888587,10.0
1714,264082,0671888587,8.0
1719,11676,0553582747,7.0
1720,16795,0553582747,8.0
1724,31826,0553582747,10.0
1736,78973,0553582747,9.0
1742,104399,0553582747,10.0
1746,110973,0553582747,7.0
1775,236283,0553582747,8.0
1776,241666,0553582747,6.0
1786,255489,0553582747,9.0
1788,2276,0425182908,4.0
1797,28634,0425182908,10.0
1801,35859,0425182908,4.0
1802,38273,0425182908,9.0
1806,53220,0425182908,8.0
1807,56959,0425182908,5.0
1813,83287,0425182908,1.0
1817,92810,0425182908,6.0
1829,163973,0425182908,9.0
1839,232131,0425182908,4.0
1841,236340,0425182908,2.0
1852,258534,0425182908,10.0
1859,8067,042518630X,2.0
1860,11676,042518630X,10.0
1866,30276,042518630X,9.0
1870,78973,042518630X,7.0
1871,98391,042518630X,9.0
1874,114368,042518630X,10.0
1875,123883,042518630X,5.0
1879,153662,042518630X,10.0
1880,156467,042518630X,10.0
1881,158295,042518630X,5.0
1884,227520,042518630X,9.0
1886,245410,042518630X,7.0
1887,247447,042518630X,8.0
1888,258185,042518630X,10.0
1891,278418,042518630X,7.0
1899,162639,0440223571,9.0
1905,240144,0440223571,10.0
1909,269566,0440223571,7.0
1913,11676,0842342702,9.0
1916,35859,0842342702,10.0
1920,60244,0842342702,5.0
1933,136382,0842342702,5.0
1941,177458,0842342702,4.0
1964,7346,0440225701,10.0
1965,11676,0440225701,8.0
1975,38273,0440225701,5.0
1978,40889,0440225701,8.0
1992,68555,0440225701,7.0
1993,70666,0440225701,9.0
2008,102647,0440225701,8.0
2009,104636,0440225701,6.0
2013,112001,0440225701,9.0
2023,125519,0440225701,9.0
2028,136382,0440225701,4.0
2036,159506,0440225701,8.0
2059,227705,0440225701,7.0
2062,229011,0440225701,7.0
2064,232131,0440225701,7.0
2066,232945,0440225701,8.0
2074,241666,0440225701,8.0
2080,251843,0440225701,5.0
2084,264082,0440225701,9.0
2095,128835,0060914068,10.0
2102,6251,0380715899,7.0
2116,93629,0671623249,8.0
2125,214786,0671623249,10.0
2127,230522,0671623249,8.0
2134,76499,0679810307,5.0
2150,11676,042511774X,5.0
2158,60244,042511774X,8.0
2160,105517,042511774X,10.0
2173,153662,042511774X,9.0
2176,166596,042511774X,8.0
2183,223087,042511774X,8.0
2186,234828,042511774X,9.0
2189,265115,042511774X,3.0
2199,6575,0804106304,9.0
2200,7346,0804106304,9.0
2213,30276,0804106304,6.0
2219,35859,0804106304,8.0
2222,36907,0804106304,8.0
2231,52584,0804106304,7.0
2232,52917,0804106304,7.0
2238,60244,0804106304,8.0
2240,60707,0804106304,7.0
2241,66942,0804106304,10.0
2247,73681,0804106304,7.0
2270,101851,0804106304,10.0
2275,113519,0804106304,9.0
2280,122793,0804106304,9.0
2287,135149,0804106304,7.0
2295,143415,0804106304,10.0
2301,153662,0804106304,9.0
2304,157273,0804106304,8.0
2312,166596,0804106304,9.0
2314,171118,0804106304,7.0
2331,200226,0804106304,5.0
2347,232131,0804106304,8.0
2356,239594,0804106304,7.0
2357,240567,0804106304,8.0
2374,266226,0804106304,9.0
2378,269566,0804106304,8.0
2380,270713,0804106304,8.0
2393,164096,1853260053,7.0
2401,78783,0060938412,8.0
2402,98391,0060938412,9.0
2407,6251,0140067477,10.0
2411,11676,0140067477,8.0
2418,32773,0140067477,8.0
2420,37950,0140067477,6.0
2424,55187,0140067477,5.0
2426,56399,0140067477,10.0
2427,56447,0140067477,8.0
2432,63956,0140067477,8.0
2440,88693,0140067477,8.0
2444,101851,0140067477,10.0
2460,150979,0140067477,8.0
2470,179978,0140067477,10.0
2475,189835,0140067477,5.0
2481,211426,0140067477,9.0
2483,217106,0140067477,5.0
2485,219683,0140067477,10.0
2488,226965,0140067477,10.0
2499,249894,0140067477,8.0
2512,11676,0345465083,7.0
2521,51883,0345465083,10.0
2523,60244,0345465083,9.0
2533,115003,0345465083,10.0
2541,153662,0345465083,10.0
2547,187145,0345465083,7.0
2563,240567,0345465083,10.0
2571,7346,1558531025,9.0
2574,11676,1558531025,10.0
2575,13850,1558531025,9.0
2576,29259,1558531025,10.0
2577,35859,1558531025,8.0
2578,39281,1558531025,10.0
2585,105517,1558531025,6.0
2587,113519,1558531025,9.0
2594,150979,1558531025,10.0
2595,170513,1558531025,7.0
2596,171118,1558531025,6.0
2603,225087,1558531025,10.0
2619,56447,0441783589,7.0
2621,79441,0441783589,8.0
2630,165758,0441783589,5.0
2642,254206,0441783589,10.0
2645,12538,0394895894,7.0
2648,104636,0394895894,10.0
2655,240144,0394895894,10.0
2657,96448,1569871213,5.0
2666,129716,0375410538,8.0
2674,75591,087113375X,7.0
2688,129851,0060930365,5.0
2701,13850,0316769487,9.0
2705,16795,0316769487,8.0
2707,17950,0316769487,9.0
2717,28591,0316769487,10.0
2719,31556,0316769487,5.0
2727,37644,0316769487,6.0
2740,60244,0316769487,7.0
2751,70666,0316769487,9.0
2757,75819,0316769487,2.0
2760,78834,0316769487,10.0
2774,95359,0316769487,8.0
2805,129716,0316769487,9.0
2815,150979,0316769487,7.0
2831,174304,0316769487,10.0
2836,177432,0316769487,6.0
2858,200226,0316769487,8.0
2862,204864,0316769487,10.0
2872,211426,0316769487,10.0
2873,211919,0316769487,7.0
2881,219683,0316769487,1.0
2894,229741,0316769487,8.0
2901,240567,0316769487,9.0
2920,268300,0316769487,9.0
2925,271448,0316769487,7.0
2964,6575,0679429220,6.0
2977,37712,0679429220,10.0
2989,60244,0679429220,7.0
2991,60337,0679429220,9.0
2995,66942,0679429220,8.0
2996,69078,0679429220,8.0
2997,75591,0679429220,10.0
3001,88733,0679429220,8.0
3002,89602,0679429220,8.0
3008,112001,0679429220,10.0
3010,114988,0679429220,7.0
3019,135149,0679429220,9.0
3020,136139,0679429220,8.0
3039,193458,0679429220,9.0
3045,204864,0679429220,10.0
3056,242083,0679429220,8.0
3077,30810,0671867156,7.0
3079,31826,0671867156,10.0
3085,46398,0671867156,6.0
3094,102967,0671867156,6.0
3095,104636,0671867156,9.0
3098,110973,0671867156,7.0
3100,125519,0671867156,7.0
3118,225232,0671867156,6.0
3126,70594,0312252617,8.0
3127,76151,0312252617,10.0
3128,98391,0312252617,10.0
3130,140358,0312252617,5.0
3131,182993,0312252617,8.0
3134,6575,0312261594,2.0
3135,11676,0312261594,6.0
3151,133747,0316748641,8.0
3156,4017,0446677450,10.0
3158,16634,0446677450,3.0
3166,67840,0446677450,7.0
3169,97874,0446677450,9.0
3173,125519,0446677450,9.0
3177,166123,0446677450,10.0
3185,210485,0446677450,7.0
3201,16634,0451166892,10.0
3208,38281,0451166892,8.0
3209,48025,0451166892,9.0
3216,78783,0451166892,10.0
3221,87141,0451166892,8.0
3230,114988,0451166892,7.0
3242,149908,0451166892,8.0
3244,156150,0451166892,10.0
3251,172742,0451166892,8.0
3272,217740,0451166892,8.0
3281,251844,0451166892,10.0
3286,178522,0553347594,9.0
3291,6543,067976397X,7.0
3301,110973,067976397X,8.0
3303,113270,067976397X,8.0
3305,113519,067976397X,9.0
3328,7346,0786868716,7.0
3334,11676,0786868716,9.0
3337,13552,0786868716,9.0
3338,13850,0786868716,5.0
3342,16795,0786868716,8.0
3361,36606,0786868716,10.0
3362,36907,0786868716,7.0
3367,40889,0786868716,5.0
3386,75819,0786868716,6.0
3395,89602,0786868716,6.0
3404,97874,0786868716,6.0
3405,98391,0786868716,10.0
3411,105979,0786868716,7.0
3416,109901,0786868716,6.0
3417,110912,0786868716,10.0
3419,112001,0786868716,10.0
3426,122429,0786868716,3.0
3427,122793,0786868716,10.0
3439,130571,0786868716,6.0
3493,182993,0786868716,10.0
3501,190925,0786868716,8.0
3511,208671,0786868716,7.0
3535,235935,0786868716,10.0
3536,236283,0786868716,10.0
3543,249894,0786868716,7.0
3561,270713,0786868716,10.0
3579,87141,0312953453,8.0
3589,95359,0446608653,5.0
3598,232945,0446608653,8.0
3606,11676,0446612545,6.0
3609,13850,0446612545,9.0
3616,35836,0446612545,3.0
3620,39281,0446612545,7.0
3626,48025,0446612545,8.0
3628,53220,0446612545,10.0
3643,98758,0446612545,9.0
3655,125519,0446612545,8.0
3661,143175,0446612545,9.0
3663,158295,0446612545,6.0
3669,166123,0446612545,5.0
3680,190925,0446612545,8.0
3686,204864,0446612545,8.0
3691,225087,0446612545,5.0
3694,232945,0446612545,8.0
3701,266056,0446612545,7.0
3707,11676,0446612618,5.0
3709,47316,0446612618,8.0
3717,11676,0451208080,9.0
3722,67840,0451208080,7.0
3766,10560,0671027360,8.0
3775,25601,0671027360,8.0
3793,37712,0671027360,7.0
3818,65258,0671027360,6.0
3823,70594,0671027360,8.0
3842,88693,0671027360,7.0
3843,89602,0671027360,7.0
3848,92810,0671027360,6.0
3850,95359,0671027360,9.0
3862,110912,0671027360,9.0
3863,110973,0671027360,7.0
3887,140000,0671027360,6.0
3904,156150,0671027360,6.0
3905,157247,0671027360,7.0
3906,158226,0671027360,4.0
3909,164096,0671027360,6.0
3910,164323,0671027360,9.0
3927,190708,0671027360,9.0
3953,207782,0671027360,8.0
3966,218552,0671027360,8.0
3974,225763,0671027360,5.0
3983,232131,0671027360,7.0
3985,235282,0671027360,6.0
3992,240144,0671027360,8.0
3993,240567,0671027360,7.0
3999,245410,0671027360,7.0
4005,251843,0671027360,10.0
4010,255489,0671027360,9.0
4011,261829,0671027360,9.0
4037,100459,0316735736,7.0
4046,4017,0743439740,10.0
4048,11676,0743439740,10.0
4049,13552,0743439740,7.0
4054,28634,0743439740,10.0
4055,40889,0743439740,9.0
4062,95359,0743439740,7.0
4063,97874,0743439740,10.0
4064,104636,0743439740,8.0
4079,11676,0380619458,8.0
4091,204864,0380619458,9.0
4094,95359,0446325805,8.0
4096,153662,0451406923,9.0
4100,11676,0671042858,10.0
4101,31826,0671042858,7.0
4106,38023,0671042858,10.0
4122,95359,0671042858,8.0
4125,102647,0671042858,7.0
4126,107784,0671042858,5.0
4128,109901,0671042858,10.0
4149,173291,0671042858,10.0
4154,184299,0671042858,8.0
4158,193458,0671042858,8.0
4161,207782,0671042858,8.0
4162,210485,0671042858,7.0
4163,216683,0671042858,9.0
4164,219683,0671042858,2.0
4175,254206,0671042858,10.0
4179,258534,0671042858,9.0
4191,274061,0671042858,10.0
4194,43910,0316778508,9.0
4198,223501,0316778508,7.0
4200,114988,0743249992,9.0
4201,182993,0743249992,10.0
4208,19085,0425184226,10.0
4210,25981,0425184226,5.0
4220,87141,0425184226,9.0
4221,91113,0425184226,7.0
4242,265313,0425184226,6.0
4252,125774,0451205197,8.0
4253,6575,0060929790,8.0
4255,11676,0060929790,8.0
4261,43246,0060929790,10.0
4264,69078,0060929790,9.0
4265,76499,0060929790,10.0
4266,89602,0060929790,9.0
4273,129716,0060929790,9.0
4282,201290,0060929790,9.0
4304,14422,0060976845,9.0
4305,16795,0060976845,7.0
4326,38273,0060976845,5.0
4348,75591,0060976845,7.0
4355,83671,0060976845,9.0
4362,95359,0060976845,7.0
4364,101606,0060976845,6.0
4368,105979,0060976845,8.0
4369,106007,0060976845,8.0
4373,109574,0060976845,10.0
4375,110912,0060976845,8.0
4376,110973,0060976845,9.0
4384,122429,0060976845,8.0
4411,162639,0060976845,9.0
4417,172742,0060976845,10.0
4431,204864,0060976845,6.0
4433,206534,0060976845,8.0
4437,209516,0060976845,9.0
4451,235935,0060976845,8.0
4470,264031,0060976845,10.0
4471,265115,0060976845,7.0
4481,11676,0061099325,8.0
4482,31556,0061099325,8.0
4485,56399,0061099325,10.0
4486,56959,0061099325,10.0
4487,60707,0061099325,8.0
4491,156269,0061099325,7.0
4507,11676,0671004573,10.0
4513,31826,0671004573,10.0
4514,35857,0671004573,5.0
4521,78973,0671004573,8.0
4526,104636,0671004573,9.0
4531,125519,0671004573,8.0
4542,193898,0671004573,8.0
4550,217740,0671004573,5.0
4555,245827,0671004573,5.0
4558,270713,0671004573,6.0
4561,11676,0446601640,5.0
4566,51883,0446601640,10.0
4567,70415,0446601640,6.0
4569,122793,0446601640,8.0
4575,241666,0446601640,6.0
4576,250709,0446601640,10.0
4597,91113,038572179X,9.0
4604,140000,038572179X,10.0
4614,189835,038572179X,8.0
4619,203240,038572179X,8.0
4620,209516,038572179X,8.0
4626,236058,038572179X,8.0
4634,251844,038572179X,10.0
4638,264031,038572179X,8.0
4642,275970,038572179X,9.0
4651,16795,0451410319,9.0
4652,35836,0451410319,3.0
4656,98391,0451410319,9.0
4659,110934,0451410319,7.0
4660,136348,0451410319,7.0
4667,2276,0553583468,10.0
4669,30276,0553583468,8.0
4671,51883,0553583468,6.0
4675,76151,0553583468,10.0
4678,98391,0553583468,9.0
4682,106007,0553583468,8.0
4685,158295,0553583468,8.0
4686,163804,0553583468,8.0
4688,174892,0553583468,8.0
4692,217318,0553583468,5.0
4694,223501,0553583468,7.0
4703,73681,2070567842,8.0
4707,49144,8433920081,5.0
4715,7346,0380778556,9.0
4719,23902,0380778556,8.0
4720,37712,0380778556,10.0
4721,38023,0380778556,10.0
4725,52350,0380778556,8.0
4730,102647,0380778556,8.0
4735,147847,0380778556,5.0
4738,153662,0380778556,10.0
4739,209516,0380778556,10.0
4742,229741,0380778556,7.0
4751,271705,0380778556,9.0
4757,55490,0451525221,10.0
4758,113270,0451525221,9.0
4764,242083,0451525221,6.0
4766,135265,0373196407,5.0
4768,11676,0385336772,9.0
4769,13850,0385336772,10.0
4770,36609,0385336772,8.0
4771,56554,0385336772,9.0
4772,60244,0385336772,7.0
4773,98391,0385336772,8.0
4783,153662,0440949424,10.0
4785,98391,0505524996,8.0
4789,78973,0140252800,7.0
4790,209516,0140252800,10.0
4794,165319,0812575482,6.0
4799,16795,044651747X,8.0
4803,117384,044651747X,7.0
4810,189835,044651747X,6.0
4811,199416,044651747X,7.0
4813,218552,044651747X,5.0
4821,43246,0060801263,9.0
4822,102967,0060801263,8.0
4824,231210,0060801263,10.0
4832,11676,0446527165,9.0
4836,36606,0446527165,5.0
4839,76151,0446527165,10.0
4855,193898,0446527165,7.0
4859,218552,0446527165,7.0
4861,225087,0446527165,10.0
4866,11676,0671461494,7.0
4875,150979,0671461494,8.0
4878,184299,0671461494,10.0
4883,11676,0385337639,10.0
4885,16795,0385337639,9.0
4886,21014,0385337639,10.0
4898,162639,0385337639,6.0
4899,165308,0385337639,8.0
4905,234359,0385337639,10.0
4920,174304,039575514X,8.0
4922,266226,039575514X,9.0
4925,8067,0451206673,10.0
4938,179718,0451206673,9.0
4939,182085,0451206673,8.0
4940,190708,0451206673,8.0
4944,261829,0451206673,8.0
4949,30711,0330332775,6.0
4964,76626,0330332775,8.0
4986,164096,0330332775,7.0
5003,225087,0330332775,8.0
5004,225763,0330332775,6.0
5029,187145,0486284735,9.0
5040,11676,0399138684,5.0
5042,43246,0399138684,10.0
5044,85656,0399138684,8.0
5047,227447,0399138684,10.0
5050,60244,0345354931,8.0
5052,93047,0345354931,7.0
5053,102647,0345354931,7.0
5057,177432,0345354931,7.0
5058,196160,0345354931,7.0
5061,257204,0345354931,10.0
5067,13850,0553278223,10.0
5071,76499,0553278223,10.0
5076,134434,0553278223,6.0
5077,159506,0553278223,8.0
5078,164323,0553278223,9.0
5081,170513,0553278223,7.0
5082,177432,0553278223,10.0
5084,187145,0553278223,9.0
5087,204864,0553278223,10.0
5091,245410,0553278223,8.0
5095,107951,3150000335,7.0
5118,11676,3257233051,10.0
5119,35433,3257233051,5.0
5132,11676,3453212150,10.0
5162,4017,0060915544,8.0
5168,12538,0060915544,9.0
5174,21014,0060915544,8.0
5179,36554,0060915544,10.0
5189,69078,0060915544,8.0
5195,88733,0060915544,8.0
5199,95359,0060915544,9.0
5203,105979,0060915544,7.0
5207,113270,0060915544,10.0
5210,114868,0060915544,7.0
5212,115003,0060915544,8.0
5227,143415,0060915544,8.0
5260,225087,0060915544,10.0
5263,230522,0060915544,9.0
5264,232131,0060915544,10.0
5265,235935,0060915544,10.0
5266,236757,0060915544,8.0
5288,23902,0060977493,8.0
5294,36907,0060977493,10.0
5306,88693,0060977493,8.0
5320,115003,0060977493,7.0
5328,143415,0060977493,10.0
5329,145449,0060977493,6.0
5342,201290,0060977493,4.0
5343,203240,0060977493,5.0
5349,217740,0060977493,4.0
5357,239594,0060977493,8.0
5377,8245,0156006529,7.0
5379,23902,0156006529,8.0
5385,100459,0156006529,9.0
5387,127359,0156006529,7.0
5402,240568,0156006529,10.0
5408,46398,0312169787,8.0
5415,230522,0312169787,9.0
5421,4017,0316096199,10.0
5423,7346,0316096199,8.0
5424,11676,0316096199,10.0
5426,12538,0316096199,8.0
5438,36609,0316096199,9.0
5442,43246,0316096199,9.0
5450,60337,0316096199,9.0
5458,81492,0316096199,9.0
5463,91113,0316096199,9.0
5465,95359,0316096199,9.0
5466,97874,0316096199,5.0
5472,105979,0316096199,10.0
5473,107784,0316096199,4.0
5484,150979,0316096199,9.0
5504,207782,0316096199,8.0
5505,210485,0316096199,9.0
5510,219546,0316096199,9.0
5517,225763,0316096199,6.0
5520,227447,0316096199,10.0
5525,235282,0316096199,8.0
5533,246311,0316096199,9.0
5537,251844,0316096199,8.0
5545,261829,0316096199,8.0
5550,271705,0316096199,7.0
5567,14422,0316601950,9.0
5581,30276,0316601950,6.0
5588,35857,0316601950,9.0
5589,36907,0316601950,4.0
5591,38273,0316601950,7.0
5603,52584,0316601950,9.0
5638,95359,0316601950,10.0
5652,104636,0316601950,9.0
5655,105979,0316601950,8.0
5657,110912,0316601950,9.0
5668,123608,0316601950,7.0
5685,138844,0316601950,9.0
5686,140000,0316601950,8.0
5710,166596,0316601950,8.0
5716,172742,0316601950,10.0
5720,177072,0316601950,8.0
5728,187256,0316601950,9.0
5729,187517,0316601950,7.0
5730,189973,0316601950,7.0
5750,211919,0316601950,8.0
5772,232131,0316601950,7.0
5797,254465,0316601950,10.0
5798,255489,0316601950,8.0
5809,264321,0316601950,6.0
5810,265115,0316601950,8.0
5814,269566,0316601950,7.0
5825,11676,0316602906,3.0
5831,53220,0316602906,10.0
5832,55492,0316602906,9.0
5843,98391,0316602906,9.0
5845,114368,0316602906,5.0
5856,163804,0316602906,8.0
5859,177072,0316602906,9.0
5866,223501,0316602906,9.0
5867,224764,0316602906,10.0
5868,225595,0316602906,10.0
5886,4017,0316666343,10.0
5898,10560,0316666343,8.0
5901,11676,0316666343,5.0
5909,16795,0316666343,10.0
5933,23768,0316666343,7.0
5953,28634,0316666343,10.0
5969,35859,0316666343,6.0
5971,36609,0316666343,9.0
5977,38281,0316666343,6.0
6001,46398,0316666343,6.0
6021,52584,0316666343,9.0
6031,56447,0316666343,8.0
6033,56959,0316666343,8.0
6055,66942,0316666343,8.0
6058,69078,0316666343,7.0
6070,75819,0316666343,9.0
6072,76151,0316666343,10.0
6079,78783,0316666343,10.0
6087,81492,0316666343,9.0
6097,86189,0316666343,8.0
6102,89602,0316666343,8.0
6114,95359,0316666343,9.0
6119,97874,0316666343,9.0
6120,98391,0316666343,9.0
6131,105517,0316666343,9.0
6132,105979,0316666343,8.0
6143,112001,0316666343,9.0
6149,113270,0316666343,9.0
6150,113519,0316666343,9.0
6153,114368,0316666343,5.0
6156,115003,0316666343,8.0
6193,130571,0316666343,8.0
6213,138578,0316666343,10.0
6222,140000,0316666343,10.0
6228,141902,0316666343,10.0
6232,143175,0316666343,10.0
6233,143253,0316666343,9.0
6251,148744,0316666343,8.0
6275,157273,0316666343,8.0
6278,158295,0316666343,7.0
6290,163804,0316666343,9.0
6292,164323,0316666343,9.0
6322,173415,0316666343,7.0
6327,174304,0316666343,8.0
6342,180651,0316666343,7.0
6350,187256,0316666343,9.0
6365,194600,0316666343,8.0
6367,196077,0316666343,8.0
6381,204864,0316666343,9.0
6390,210485,0316666343,8.0
6405,216683,0316666343,9.0
6418,222296,0316666343,8.0
6422,223501,0316666343,9.0
6427,224764,0316666343,7.0
6430,225595,0316666343,5.0
6437,227447,0316666343,10.0
6444,229329,0316666343,8.0
6445,229551,0316666343,8.0
6455,234828,0316666343,7.0
6456,235105,0316666343,8.0
6457,235282,0316666343,6.0
6460,236058,0316666343,9.0
6471,239584,0316666343,10.0
6493,246311,0316666343,9.0
6522,254465,0316666343,10.0
6538,261829,0316666343,9.0
6548,264031,0316666343,10.0
6550,264525,0316666343,9.0
6559,268110,0316666343,7.0
6560,268300,0316666343,10.0
6565,271448,0316666343,10.0
6585,11676,0316693006,10.0
6588,25601,0316693006,6.0
6589,31315,0316693006,10.0
6601,87141,0316693006,9.0
6605,98391,0316693006,9.0
6608,114368,0316693006,5.0
6611,125519,0316693006,9.0
6616,138578,0316693006,9.0
6626,179718,0316693006,10.0
6637,241980,0316693006,10.0
6648,6575,0316776963,8.0
6651,11676,0316776963,8.0
6666,43910,0316776963,7.0
6674,56447,0316776963,7.0
6675,56959,0316776963,10.0
6691,78834,0316776963,10.0
6698,89602,0316776963,8.0
6701,94347,0316776963,6.0
6704,95932,0316776963,8.0
6709,98758,0316776963,8.0
6725,123981,0316776963,10.0
6736,146348,0316776963,10.0
6778,229741,0316776963,9.0
6781,235282,0316776963,8.0
6782,239584,0316776963,9.0
6785,242083,0316776963,7.0
6795,261829,0316776963,1.0
6797,264321,0316776963,6.0
6800,270713,0316776963,7.0
6801,277427,0316776963,8.0
6803,4017,0316899984,5.0
6820,89602,0316899984,5.0
6821,100459,0316899984,8.0
6836,138844,0316899984,8.0
6839,153662,0316899984,5.0
6845,194600,0316899984,6.0
6869,102647,0345311396,6.0
6875,217318,0345311396,5.0
6882,11676,0345378490,9.0
6887,16795,0345378490,7.0
6895,35857,0345378490,7.0
6896,52199,0345378490,5.0
6907,70666,0345378490,6.0
6912,85656,0345378490,9.0
6913,87141,0345378490,7.0
6915,88733,0345378490,9.0
6917,95359,0345378490,6.0
6919,102647,0345378490,8.0
6921,102967,0345378490,7.0
6922,105028,0345378490,7.0
6928,136010,0345378490,9.0
6935,158433,0345378490,6.0
6946,189139,0345378490,6.0
6947,190925,0345378490,7.0
6948,197659,0345378490,9.0
6957,210485,0345378490,7.0
6960,224349,0345378490,7.0
6962,227705,0345378490,8.0
6977,2276,0345404793,9.0
6979,11676,0345404793,6.0
